year,sex,people
1993,Männlich,1709
1993,Weiblich,1691
1994,Männlich,1766
1994,Weiblich,1717
1995,Männlich,1767
1995,Weiblich,1652
1996,Männlich,1808
1996,Weiblich,1622
1997,Männlich,1838
1997,Weiblich,1621
1998,Männlich,1759
1998,Weiblich,1696
1999,Männlich,1834
1999,Weiblich,1655
2000,Männlich,1896
2000,Weiblich,1681
2001,Männlich,1736
2001,Weiblich,1736
2002,Männlich,1815
2002,Weiblich,1738
2003,Männlich,1898
2003,Weiblich,1731
2004,Männlich,1932
2004,Weiblich,1859
2005,Männlich,2005
2005,Weiblich,1890
2006,Männlich,2054
2006,Weiblich,1975
2007,Männlich,2111
2007,Weiblich,2008
2008,Männlich,2248
2008,Weiblich,2101
2009,Männlich,2395
2009,Weiblich,2244
2010,Männlich,2348
2010,Weiblich,2240
2011,Männlich,2497
2011,Weiblich,2263
2012,Männlich,2423
2012,Weiblich,2255
2013,Männlich,2486
2013,Weiblich,2434
2014,Männlich,2596
2014,Weiblich,2549
2015,Männlich,2713
2015,Weiblich,2478
2016,Männlich,2714
2016,Weiblich,2462
2017,Männlich,2697
2017,Weiblich,2543
2018,Männlich,2686
2018,Weiblich,2526
2019,Männlich,2590
2019,Weiblich,2544
